Part ID,Description,Supplier,Part Number / SKU,URL / Notes,Unit Price,Lead Time,Min Order,Status,Last Checked
XIAO-BLK-001,Black walnut blank 1.5 sq × 26 in,Woodcraft / local hardwood,Varies,woodcraft.com or local mill,~$8–15,1–3 days,1 ea,TBD,2026-05-08
XIAO-BLK-001-ALT,Bamboo tube (madake/moso) — traditional,Asian specialty suppliers,Varies,Search: 'madake bamboo flute blank',~$5–20,1–3 weeks,1 ea,TBD,2026-05-08
XIAO-DRILL-001,1/4 in HSS pilot bit 18 in+,McMaster-Carr,2890A13 or similar,mcmaster.com — search: 'long series drill 1/4',~$8,1–2 days,$0 min,TBD,2026-05-08
XIAO-DRILL-002,55/64 in HSS bit 18 in+,Toolmex / McMaster-Carr,Varies,mcmaster.com — search: 'aircraft length drill 55/64',~$25–45,2–5 days,$0 min,TBD,2026-05-08
XIAO-REAM-001,7/8 in adjustable reamer,McMaster-Carr,2514A14 or similar,mcmaster.com,~$35,1–2 days,$0 min,TBD,2026-05-08
XIAO-FIN-001,Boiled linseed oil (BLO),Hardware store (local),Varies,Ace / Home Depot / Lowes,~$4 (pt),Same day,1 pt,Available,2026-05-08
XIAO-FIN-002,Danish oil,Hardware store (local),Varies,Ace / Home Depot,~$5 (pt),Same day,1 pt,Available,2026-05-08
XIAO-ABRS-001,Sandpaper assortment,Hardware store (local),Varies,120-400 grit,~$3,Same day,1 set,Available,2026-05-08
XIAO-PEG-001,Cork sheet or plug material,McMaster-Carr / Woodcraft,Varies,search: 'cork rod 7/8 in OD',~$3–5,1–3 days,$0 min,TBD,2026-05-08
XIAO-WRAP-001,Hemp or silk thread wrap,Online / craft store,Varies,search: 'hemp twine thin gauge' or 'silk thread',~$3–8,1–5 days,1 spool,TBD,2026-05-08
